SUBJECT;LABEL;DICE;HDRFDST;;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.357521252;16.40121947;;;Best ;124422;0.500160376;122620;0.460484292;118528;0.321125451;124422;0.680102157;123117;0.672098763
117122;GreyMatter;0.404627989;3.31662479;;;Middle;;;;;;;;;;
117122;Hippocampus;0.287004903;28.46049894;;;Worst;117122;0.357521252;123925;0.401643497;123117;0.259760378;120111;0.607640161;118730;0.557209784
117122;Thalamus;0.643381524;24.51530134;;;;;;;;;;;;;
117122;WhiteMatter;0.617820381;5.830951895;;;;;;;;;;;;;
118528;Amygdala;0.366713681;17.2626765;;;;;;;;;;;;;
118528;GreyMatter;0.422087377;3.16227766;;;;;;;;;;;;;
118528;Hippocampus;0.321125451;26.68332813;;;;;;;;;;;;;
118528;Thalamus;0.650538026;23.4520788;;;;;;;;;;;;;
118528;WhiteMatter;0.582294891;6.164414003;;;;;;;;;;;;;
118730;Amygdala;0.434091987;19.41648784;;;;;;;;;;;;;
118730;GreyMatter;0.436011853;2.828427125;;;;;;;;;;;;;
118730;Hippocampus;0.272650984;32.77193922;;;;;;;;;;;;;
118730;Thalamus;0.626722298;21.9317122;;;;;;;;;;;;;
118730;WhiteMatter;0.557209784;6.164414003;;;;;;;;;;;;;
118932;Amygdala;0.42594544;17.11724277;;;;;;;;;;;;;
118932;GreyMatter;0.444891621;2.828427125;;;;;;;;;;;;;
118932;Hippocampus;0.26969778;30.33150178;;;;;;;;;;;;;
118932;Thalamus;0.664176124;21.74856317;;;;;;;;;;;;;
118932;WhiteMatter;0.623899195;5.477225575;;;;;;;;;;;;;
120111;Amygdala;0.385587169;21.42428529;;;;;;;;;;;;;
120111;GreyMatter;0.39956527;3;;;;;;;;;;;;;
120111;Hippocampus;0.302316339;30.61045573;;;;;;;;;;;;;
120111;Thalamus;0.607640161;21.30727575;;;;;;;;;;;;;
120111;WhiteMatter;0.651682964;5.099019514;;;;;;;;;;;;;
122317;Amygdala;0.439386563;18.43908891;;;;;;;;;;;;;
122317;GreyMatter;0.450104128;3;;;;;;;;;;;;;
122317;Hippocampus;0.293789757;28.0713377;;;;;;;;;;;;;
122317;Thalamus;0.668237562;24.69817807;;;;;;;;;;;;;
122317;WhiteMatter;0.6367864;5.830951895;;;;;;;;;;;;;
122620;Amygdala;0.453175707;19;;;;;;;;;;;;;
122620;GreyMatter;0.460484292;3;;;;;;;;;;;;;
122620;Hippocampus;0.2986512;28.17800561;;;;;;;;;;;;;
122620;Thalamus;0.663136059;22.47220505;;;;;;;;;;;;;
122620;WhiteMatter;0.566108158;6.403124237;;;;;;;;;;;;;
123117;Amygdala;0.389400404;15.26433752;;;;;;;;;;;;;
123117;GreyMatter;0.418105203;3;;;;;;;;;;;;;
123117;Hippocampus;0.259760378;24.91987159;;;;;;;;;;;;;
123117;Thalamus;0.637646147;25.17935662;;;;;;;;;;;;;
123117;WhiteMatter;0.672098763;5.830951895;;;;;;;;;;;;;
123925;Amygdala;0.429556424;13.92838828;;;;;;;;;;;;;
123925;GreyMatter;0.401643497;3.31662479;;;;;;;;;;;;;
123925;Hippocampus;0.263427235;26.41968963;;;;;;;;;;;;;
123925;Thalamus;0.673477822;23.17326045;;;;;;;;;;;;;
123925;WhiteMatter;0.651887124;5.916079783;;;;;;;;;;;;;
124422;Amygdala;0.500160376;14.2126704;;;;;;;;;;;;;
124422;GreyMatter;0.412387652;3.16227766;;;;;;;;;;;;;
124422;Hippocampus;0.272122996;27.22131518;;;;;;;;;;;;;
124422;Thalamus;0.680102157;24.16609195;;;;;;;;;;;;;
124422;WhiteMatter;0.579048491;6.403124237;;;;;;;;;;;;;
