LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4092004370980257
Amygdala;DICE;STD;0.03480816810014211
Amygdala;HDRFDST;MEAN;17.34200494052497
Amygdala;HDRFDST;STD;3.6269635568623495
GreyMatter;DICE;MEAN;0.4172859366762817
GreyMatter;DICE;STD;0.019158587556420283
GreyMatter;HDRFDST;MEAN;3.3786801580444985
GreyMatter;HDRFDST;STD;0.29072390620036753
Hippocampus;DICE;MEAN;0.39315997933971014
Hippocampus;DICE;STD;0.01276226478874352
Hippocampus;HDRFDST;MEAN;17.56897822976259
Hippocampus;HDRFDST;STD;1.825103822287428
Thalamus;DICE;MEAN;0.6702839138302831
Thalamus;DICE;STD;0.026661640221492887
Thalamus;HDRFDST;MEAN;38.06427439328786
Thalamus;HDRFDST;STD;1.144995594965088
WhiteMatter;DICE;MEAN;0.676084724612064
WhiteMatter;DICE;STD;0.01942280123059932
WhiteMatter;HDRFDST;MEAN;4.082946640340852
WhiteMatter;HDRFDST;STD;0.17189162902639263
